region_id,n_nodes,n_terminals,undir_cost,consistency,dir_feasible,dir_cost,cost_ratio,node_jaccard
28,9,4,2.0893,0.5,0,,,
215,9,3,0.803,0.333,0,,,
261,10,4,0.6707,0.5,0,,,
145,11,3,2.1161,0.6,1,2.1161,1.0,1.0
293,12,3,1.4168,0.8,0,,,
186,13,3,1.3198,0.25,0,,,
126,14,4,1.1717,0.4,0,,,
176,16,4,0.8746,0.4,0,,,
16,17,5,0.8587,0.4,0,,,
152,17,3,2.6489,0.667,0,,,
267,17,5,0.7441,0.2,0,,,
316,17,5,1.7368,0.333,0,,,
333,17,3,0.503,0.333,0,,,
206,19,3,1.4718,0.333,0,,,
322,20,3,0.2598,0.667,1,0.4625,1.78,0.6
310,21,3,0.644,0.333,0,,,
164,22,4,0.2957,0.25,0,,,
163,25,3,1.1337,0.333,1,1.1337,1.0,1.0
195,25,3,1.2971,0.5,0,,,
95,26,4,1.0486,0.667,0,,,
22,27,5,0.9362,0.333,0,,,
32,27,3,1.3197,0.833,1,1.6236,1.23,0.75
42,27,4,1.5952,0.429,0,,,
119,27,3,0.5586,0.333,0,,,
283,27,3,0.0863,0.333,0,,,
313,27,7,2.3473,0.25,0,,,
135,29,3,0.4513,0.333,0,,,
84,30,3,1.0754,0.5,1,1.0754,1.0,1.0
196,30,3,0.8319,0.333,0,,,
290,32,6,1.207,0.286,0,,,
241,33,4,2.4302,0.5,0,,,
18,38,3,0.7079,0.333,0,,,
49,38,4,1.3159,1.0,1,1.3159,1.0,1.0
226,40,4,1.0907,0.333,0,,,
205,42,3,1.885,0.4,0,,,
331,42,3,0.3393,0.667,1,0.3393,1.0,1.0
212,45,4,1.0344,0.4,0,,,
147,47,3,1.043,0.5,0,,,
82,48,3,0.3113,0.4,1,0.4645,1.492,0.714
125,48,5,0.8466,0.286,0,,,
