region_id,n_nodes,n_edges,n_terminals,n_steiner,bypassable,chords,interesting,reason
1,19,27,5,1,0,0,False,unique_path
3,378,1593,3,2,2,0,True,ok
6,271,1634,8,4,4,5,True,ok
8,363,3388,16,8,8,20,True,ok
9,386,1263,7,3,3,9,True,ok
10,11,17,8,1,0,0,False,unique_path
12,121,393,5,2,2,1,True,ok
14,233,827,7,5,4,10,True,ok
16,17,42,5,1,1,3,True,ok
17,77,237,5,2,2,2,True,ok
18,38,123,3,1,1,1,True,ok
19,391,1117,5,4,3,1,True,ok
21,12,20,3,1,0,0,False,unique_path
22,27,44,5,1,1,1,True,ok
23,198,640,3,1,1,0,True,ok
24,136,522,6,2,1,0,True,ok
25,71,180,3,2,2,1,True,ok
27,285,2108,13,5,5,14,True,ok
28,9,13,4,1,1,0,True,ok
29,167,620,4,2,2,2,True,ok
30,387,1893,8,3,3,3,True,ok
31,158,538,3,2,1,2,True,ok
32,27,52,3,2,1,1,True,ok
33,134,324,4,3,1,0,True,ok
34,265,857,4,2,2,2,True,ok
35,8,10,5,1,0,0,False,unique_path
36,146,395,3,2,2,1,True,ok
38,149,356,3,1,1,0,True,ok
39,316,1052,3,4,4,0,True,ok
41,132,439,6,2,2,6,True,ok
42,27,52,4,2,1,0,True,ok
43,178,698,5,2,2,2,True,ok
45,116,372,6,2,1,1,True,ok
48,96,308,6,3,3,5,True,ok
49,38,72,4,3,3,3,True,ok
50,337,1283,5,3,2,4,True,ok
51,237,649,4,2,2,1,True,ok
53,396,1593,5,2,2,1,True,ok
54,57,135,3,3,3,0,True,ok
56,174,608,4,3,3,2,True,ok
57,16,28,8,1,0,0,False,unique_path
58,77,291,4,2,2,0,True,ok
59,120,505,7,5,4,4,True,ok
62,64,192,3,2,2,0,True,ok
64,265,1952,3,2,2,0,True,ok
65,21,36,5,1,0,0,False,unique_path
66,56,133,4,3,3,2,True,ok
67,57,150,3,2,1,0,True,ok
70,20,30,4,1,0,0,False,unique_path
71,28,55,5,1,0,0,False,unique_path
72,112,281,3,2,1,2,True,ok
73,33,60,3,1,0,0,False,unique_path
75,78,194,4,1,1,0,True,ok
76,60,167,5,1,1,3,True,ok
77,91,495,7,7,5,8,True,ok
78,20,31,8,2,0,0,False,unique_path
79,124,381,4,1,1,1,True,ok
81,343,1127,6,3,3,4,True,ok
82,48,112,3,2,2,0,True,ok
84,30,71,3,2,2,0,True,ok
87,94,243,4,2,2,1,True,ok
90,66,188,3,1,1,0,True,ok
91,269,1372,4,5,5,1,True,ok
93,332,1685,13,6,6,14,True,ok
94,207,627,7,2,2,5,True,ok
95,26,48,4,1,1,0,True,ok
96,364,3410,18,10,10,34,True,ok
97,140,912,3,2,1,0,True,ok
98,53,145,6,3,3,6,True,ok
99,133,366,4,3,3,2,True,ok
100,81,300,4,2,2,0,True,ok
101,302,2588,3,3,2,2,True,ok
103,338,3178,14,7,7,14,True,ok
104,261,921,5,4,4,2,True,ok
105,202,888,6,2,2,1,True,ok
107,9,11,5,1,0,0,False,unique_path
108,297,801,3,2,1,1,True,ok
109,223,839,9,5,4,7,True,ok
111,114,381,6,4,4,1,True,ok
112,173,608,3,2,2,1,True,ok
113,30,60,5,1,0,0,False,unique_path
114,57,149,5,1,1,0,True,ok
117,13,17,8,1,0,0,False,unique_path
118,279,1371,3,2,2,0,True,ok
119,27,55,3,2,2,2,True,ok
123,182,516,4,3,3,0,True,ok
124,67,167,3,1,1,1,True,ok
125,48,107,5,2,1,0,True,ok
126,14,25,4,2,1,1,True,ok
130,261,922,5,4,4,3,True,ok
132,96,272,3,2,2,0,True,ok
133,230,705,5,4,4,0,True,ok
135,29,59,3,1,1,0,True,ok
136,379,1322,3,2,2,1,True,ok
137,57,138,3,4,2,0,True,ok
138,254,862,5,5,5,0,True,ok
