idx,n_nodes,n_edges,n_terminals,red_nodes,red_edges,vars,L,ilp_cost,ilp_status,ilp_t,sa_cost,sa_ratio,sa_feas_raw,sa_t,gnn_cost,gnn_ratio,gnn_feas_raw,gnn_t,note
18,9,13,4,7,10,48,2,1.7123,Optimal,0.16,1.7123,1.0,True,5.68,2.5893,1.5122,False,18.4,
153,9,11,3,4,5,20,2,1.153,Optimal,0.05,1.153,1.0,True,2.1,1.153,1.0,False,8.57,
183,10,22,4,10,22,98,2,1.3373,Optimal,0.07,1.3373,1.0,True,12.0,4.1042,3.069,False,15.15,
99,11,19,3,9,15,105,3,2.6994,Optimal,0.09,2.6994,1.0,True,13.7,4.1469,1.5362,False,17.36,
207,12,18,3,8,12,87,3,2.4609,Optimal,0.06,2.4609,1.0,True,12.74,4.1845,1.7004,False,16.55,
132,13,20,3,8,13,56,2,1.6619,Optimal,0.06,1.6619,1.0,True,1.27,2.9544,1.7777,False,17.41,
88,14,25,4,10,19,84,2,1.8383,Optimal,0.11,1.8383,1.0,True,10.16,4.4465,2.4188,False,19.38,
122,16,24,4,9,14,68,2,1.6898,Optimal,0.1,1.6898,1.0,True,8.4,3.671,2.1725,False,16.35,
8,17,42,5,14,37,225,3,1.1818,Optimal,0.21,2.5619,2.1677,True,34.48,1.2977,1.098,False,4.01,
105,17,29,3,11,19,88,2,2.6379,Optimal,0.07,2.6379,1.0,True,1.99,5.9475,2.2546,False,16.9,
187,17,24,5,8,12,50,2,1.6246,Optimal,0.06,1.6246,1.0,True,5.5,3.4645,2.1326,False,16.47,
220,17,27,5,10,15,62,2,2.3714,Optimal,0.17,2.3714,1.0,True,1.54,4.4513,1.8771,False,13.85,
234,17,33,3,11,24,104,2,1.003,Optimal,0.07,1.003,1.0,True,12.5,4.5725,4.5588,False,19.47,
146,19,33,3,14,25,114,2,1.4874,Optimal,0.06,1.4874,1.0,True,13.73,7.3021,4.9094,False,14.44,
225,20,38,3,7,16,33,1,0.6314,Optimal,0.07,0.6314,1.0,True,3.51,1.8574,2.9417,False,11.0,
215,21,40,3,13,30,136,2,1.0735,Optimal,0.07,1.0735,1.0,True,16.63,6.3261,5.8929,False,17.13,
114,22,49,4,16,39,166,2,1.1498,Optimal,0.1,2.8508,2.4793,True,23.27,6.4421,5.6026,False,20.13,
113,25,48,3,14,32,138,2,1.3647,Optimal,0.08,2.4039,1.7615,True,18.92,7.7364,5.6689,False,21.79,
139,25,59,3,17,43,297,3,1.9006,Optimal,0.13,4.5985,2.4196,True,50.71,8.572,4.5103,False,22.85,
65,26,48,4,16,36,158,2,1.4614,Optimal,0.1,2.1709,1.4854,True,18.26,6.5203,4.4616,False,15.87,
13,27,44,5,8,16,68,2,1.2027,Optimal,0.09,1.2027,1.0,True,7.51,2.3917,1.9887,False,8.2,
22,27,52,3,15,32,142,2,1.9148,Optimal,0.13,2.3383,1.2212,True,3.29,7.8326,4.0906,False,10.16,
30,27,52,4,17,39,172,2,2.3334,Optimal,0.14,2.3334,1.0,True,4.23,10.1435,4.347,False,17.14,
84,27,55,3,20,44,210,2,1.0308,Optimal,0.09,1.0308,1.0,True,25.03,10.8755,10.5508,False,17.72,
201,27,73,3,23,65,296,2,0.7947,Optimal,0.1,1.0734,1.3508,True,38.39,4.0601,5.1092,False,3.08,
218,27,57,7,18,43,291,3,2.4366,Optimal,1.31,4.3493,1.785,True,38.5,7.1911,2.9513,False,6.04,
