idx,red_nodes,red_edges,vars_est,L,ilp_cost,kmb_ratio,sa_ratio,gnn_old_ratio,gnn_tuned_cost,gnn_tuned_ratio,gnn_tuned_feas_raw,t
18,7.0,10.0,48.0,2,1.7123,1.0,1.0,1.5122,2.5893,1.5122,False,17.4
153,4.0,5.0,20.0,2,1.153,1.0,1.0,1.0,1.153,1.0,True,16.8
183,10.0,22.0,98.0,2,1.3373,1.0,1.0,3.069,4.1042,3.069,False,19.3
99,9.0,15.0,105.0,3,2.6994,1.0,1.0,1.5362,4.1469,1.5362,False,20.9
207,8.0,12.0,87.0,3,2.4609,1.0,1.0,1.7004,2.4609,1.0,False,16.2
132,8.0,13.0,56.0,2,1.6619,1.0,1.0,1.7777,2.9544,1.7777,False,19.0
88,10.0,19.0,84.0,2,1.8383,1.0,1.0,2.4188,4.4465,2.4188,False,19.3
122,9.0,14.0,68.0,2,1.6898,1.0,1.0,2.1725,3.671,2.1725,False,18.8
8,14.0,37.0,225.0,3,1.1818,1.0981,2.1677,1.098,5.1289,4.3399,False,20.2
105,11.0,19.0,88.0,2,2.6379,1.0,1.0,2.2546,5.9475,2.2546,False,19.6
234,11.0,24.0,104.0,2,1.003,1.0,1.0,4.5588,4.5725,4.5588,False,18.7
225,7.0,16.0,33.0,1,0.6314,1.0,1.0,2.9417,0.6314,1.0,True,15.1
215,13.0,30.0,136.0,2,1.0735,1.0,1.0,5.8929,6.3261,5.893,False,17.5
114,16.0,39.0,166.0,2,1.1498,1.0,2.4793,5.6026,6.4421,5.6028,False,17.8
113,14.0,32.0,138.0,2,1.3647,1.0,1.7615,5.6689,7.7364,5.6689,False,17.3
139,17.0,43.0,297.0,3,1.9006,1.0657,2.4196,4.5103,2.0256,1.0657,False,11.4
65,16.0,36.0,158.0,2,1.4614,1.0,1.4854,4.4616,6.5203,4.4617,False,17.3
13,8.0,16.0,68.0,2,1.2027,1.0,1.0,1.9887,2.3917,1.9886,False,16.8
84,20.0,44.0,210.0,2,1.0308,1.2794,1.0,10.5508,1.3188,1.2794,False,15.3
201,23.0,65.0,296.0,2,0.7947,1.0,1.3508,5.1092,0.7947,1.0,False,15.9
218,18.0,43.0,291.0,3,2.4366,1.0,1.785,2.9513,2.4366,1.0,False,14.2
140,24.0,67.0,296.0,2,1.1675,1.0,3.8529,10.797,1.1675,1.0,False,15.1
204,14.0,27.0,124.0,2,1.431,1.0,1.3909,3.2411,4.638,3.2411,False,17.7
170,23.0,48.0,206.0,2,1.7171,1.0,1.4159,6.321,10.854,6.3211,False,18.2
10,29.0,110.0,460.0,2,1.1055,1.0,7.5321,1.0,1.1055,1.0,False,12.6
34,20.0,43.0,194.0,2,2.1071,1.0255,1.524,4.4173,9.3077,4.4173,False,17.7
161,28.0,103.0,434.0,2,1.8313,1.0,4.2992,6.9933,1.8313,1.0,False,9.6
145,24.0,53.0,248.0,2,2.445,1.0,1.4984,1.0,2.445,1.0,False,15.2
150,36.0,89.0,406.0,2,1.7697,1.0,4.0459,11.6438,1.7697,1.0,False,13.8
101,19.0,41.0,172.0,2,1.7447,1.0,2.4004,5.4346,1.7447,1.0,False,14.7
58,31.0,83.0,378.0,2,1.0908,1.1021,4.2863,16.2602,1.2022,1.1021,False,13.5
87,26.0,64.0,274.0,2,1.9777,1.0,2.8825,5.6972,1.9777,1.0,False,14.4
156,31.0,98.0,436.0,2,0.8122,1.0,11.9813,1.2867,1.045,1.2866,False,11.4
119,19.0,39.0,164.0,2,1.0296,1.0,2.2428,7.9296,8.1643,7.9296,False,16.3
68,39.0,127.0,564.0,2,2.2778,1.1255,5.7919,1.1254,2.5636,1.1255,False,12.4
46,37.0,106.0,470.0,2,1.8222,1.2225,5.5056,1.2225,2.2276,1.2225,False,9.5
38,40.0,108.0,747.0,3,2.5908,1.0,5.0989,1.0,2.5908,1.0,False,15.0
47,40.0,121.0,534.0,2,1.8496,1.0,6.0916,1.0,1.8496,1.0,False,14.2
81,39.0,120.0,548.0,2,1.4239,1.0,6.6049,1.0,1.4239,1.0,False,9.8
94,36.0,107.0,729.0,3,3.6082,1.0,5.0509,1.0,3.6082,1.0,False,10.5
203,44.0,139.0,918.0,3,2.1435,1.1439,9.5548,1.1438,2.4519,1.1439,False,5.8
179,31.0,106.0,450.0,2,1.3614,1.0277,6.5898,1.0277,1.3991,1.0277,False,11.6
217,37.0,112.0,506.0,2,0.8369,1.0,18.7168,26.5753,0.8369,1.0,False,9.5
53,42.0,140.0,918.0,3,1.017,1.0859,16.0446,1.0859,1.1044,1.0859,False,8.0
185,39.0,120.0,528.0,2,1.4131,1.0,7.8295,1.0,1.4131,1.0,False,9.8
43,47.0,163.0,1089.0,3,1.4438,1.0,17.6893,1.0,1.4438,1.0,False,8.1
154,41.0,107.0,492.0,2,4.4208,1.1153,4.3398,5.1954,4.9304,1.1153,False,14.1
