region_id,n_nodes,n_terminals,hidden,deg_hidden,true_hit,null_rate,tree_size
3,378,3,0x23d56797f64640e96feaf57b7874c897b53ef0e4,62,0,0.1111,3
3,378,3,0xee14140f20fb737809ca206c238382b3f802ca6c,14,0,0.0,3
3,378,3,0x76f6671887cf6056344d999e0f326a80a4548710,5,0,0.0,4
6,271,8,0xba83e9ce38b10522e3d6061a12779b7526839eda,108,1,0.5,17
6,271,8,0x89474953d6bc8275b88e331fdf1a92d552563712,29,0,0.0,14
6,271,8,0xaca33c43bd8deac8e1d144baa51fe9c7dd7b010f,39,0,0.1,16
6,271,8,0x69a862e6f6837c2c4a74f53015e797855441e789,24,0,0.05,15
6,271,8,0x0a5650aba6473c48898f3d9366b52c21a4eec37b,27,0,0.0,14
6,271,8,0xc57f1148855e67763a694f7f2c0e68230adc686e,28,0,0.0,13
6,271,8,0x6f931bac260e7fcbaa0244d3b43a2bd9e9acf698,8,1,0.0,17
6,271,8,0x7822b7b190604eaeb4dcaabd2dd5e1daafcb9d46,4,0,0.0,16
8,363,16,0x6aef2850c2ce2ef583ae8a36be3357080608bdc3,67,0,0.15,33
8,363,16,0x4482b379bd92a12001cd71d9abc10a4b26b9ddf4,16,0,0.0,31
8,363,16,0x0a5650aba6473c48898f3d9366b52c21a4eec37b,35,0,0.0,31
8,363,16,0xb1daec35b9774288fd3895a30912961945878046,53,0,0.15,33
8,363,16,0x8dbdbb1daa5ee7a45dcc5e23d4aadacf7db9bc2e,39,0,0.15,32
8,363,16,0xd0cc2b24980cbcca47ef755da88b220a82291407,31,0,0.05,29
8,363,16,0x685445fe51b31790538890a6468851afbf7a0519,46,0,0.1,32
8,363,16,0x648e163b47a69c06fa4a0904324afe393763b323,41,0,0.2,33
8,363,16,0xff714f17dcf5d9db0cc3b814e415ace61f6cdb09,36,0,0.1,33
8,363,16,0x3cbd2e6143f057bd49ffb4c7058217a5900c35d3,47,0,0.05,32
8,363,16,0x434e9f6a1ac134fda3e7ceb3fd67c3d9b3518737,43,0,0.05,33
8,363,16,0x89474953d6bc8275b88e331fdf1a92d552563712,54,0,0.1,31
8,363,16,0xe77a30bc4cf2b2bb9176ce8e4454745a2751e29d,9,0,0.0,33
8,363,16,0x3de08b35c0e7f255f37a5dace9bd8eb78e99e985,9,0,0.0,33
8,363,16,0x7098c7113c2ecaf48baad07e598c74c2689a5795,3,0,0.0,33
8,363,16,0xdccea2e783d873acb4ccfb7dead1004d90ad481d,2,0,0.0,33
9,386,7,0x5208d7f63a089906889a5a9caed81e9c889e64f8,103,0,,11
9,386,7,0xff8e6af02d41a576a0c82f7835535193e1a6bccc,52,0,0.2222,9
9,386,7,0x1e857859deb11afd0ca7b760f21a3d8ddb03dbdf,10,0,0.0,11
9,386,7,0xe00e1f7117a69c34694ac1815177c93491fc448f,21,0,0.15,10
9,386,7,0x40949225c4a1745a9946f6aaf763241c082cb9ac,32,0,0.1,10
9,386,7,0x336a3f0c4d40b1e39cee72e2e59330daf484848c,18,0,0.05,11
9,386,7,0xaec2cc8986bb14c0c604d5adf725ba33920102bc,19,0,0.0,11
12,121,5,0xa817f694b0e6421bdb56a384c0fb5c50e4f63d19,18,0,0.1429,6
12,121,5,0x36bb0e89f241370a01ef4a00df07577d499a94b9,19,1,0.25,7
12,121,5,0xd0cc2b24980cbcca47ef755da88b220a82291407,33,0,0.2,6
12,121,5,0xc57f1148855e67763a694f7f2c0e68230adc686e,25,0,0.3333,6
12,121,5,0xe858c157deb9912ef7eed94424be3e058bdca529,3,0,0.0,5
14,233,7,0xd0206f494e1834a0ad76b202bebfc916317884cb,59,0,0.2857,16
14,233,7,0x0dea8a35f4e39cdf65d3cc11f10612e9e0278b60,16,0,0.05,11
14,233,7,0xe8868e87aaa4a0d0751691f9f33b0e5da7127039,1,0,0.0,10
14,233,7,0xd33441a44da0c1dcee596abb7ebdcdba77c7ddbd,6,0,0.0,12
14,233,7,0x98c29afea6f69b59ad1790ce2e0effc0bd38433f,7,0,0.0,11
14,233,7,0xe704802a03e7657647b325edc2d045e76b3c1d73,4,0,0.0,12
14,233,7,0x1e3c07ce10973fcaebc81468af1d3f390d2a4c71,12,0,0.05,12
16,17,5,0xbbdef8b12babd3ab6018566bc17ec3aa302b8348,8,0,0.1429,5
16,17,5,0xdf3e77cd5e563f93fc7eca905d3302e95f9bb150,9,0,0.1667,5
16,17,5,0xd754b5bf41b84bcb49cb952f858318640abc60e0,4,0,0.0833,5
16,17,5,0x9b521529d04329c2b0a9f9b7db18ed775c6ca8fc,3,0,0.0,5
16,17,5,0x6d64486a5c99139b53239297e0b653d196d05777,5,0,0.1111,5
17,77,5,0x4a12eeb35bd5187be2d26e0fe8b906abd88b6897,14,0,0.1111,7
17,77,5,0x64ac294a477332bba968f790ffa089647bb762a1,6,0,0.05,7
17,77,5,0xba25feffe57126b503c2a313d928ee99e25884b6,4,0,0.0,7
17,77,5,0xb65db9f684f3bfa45ad3fb4cdc4120618ad81f00,6,0,0.05,7
17,77,5,0x19bfd8a539ca899983b30e1d1c3370ac03d6b7ab,4,0,0.05,5
18,38,3,0xaa60f2b7e7cd32cc31620c3a5d10a79e6f2f5cf6,18,0,0.1111,3
18,38,3,0xef0d5aa61af54a8d932734b3f1949bf40b873bb7,2,0,0.0,3
18,38,3,0x23667058d0cd398ff8d25e015c86322644c7783d,6,0,0.0,3
19,391,5,0x700cee07ac5ef32bc2af762b10f5d85b97a55261,187,1,,16
19,391,5,0x44a7ff01f7d38c73530c279e19d31527bdcf8c78,5,0,0.05,14
19,391,5,0x1f482b4fff9bd0054242d42cc3339fa2957d4227,17,0,0.05,14
19,391,5,0x7c57981af4cee87567774b53f9da1bfceb8b944b,1,0,0.0,15
19,391,5,0x05dd62c007cde143b402fa5da3937c40c70b4b14,5,0,0.0,9
22,27,5,0x45e7c24e67df934069a2709c5b592f950bc709af,12,0,0.0,6
22,27,5,0x6aef2850c2ce2ef583ae8a36be3357080608bdc3,8,0,0.0,5
22,27,5,0xa42892745f9e07d9b92cb188a380b252a332823b,2,0,0.1,6
22,27,5,0x4d517d272ce8d879d8891518e70153b49d2cdb96,5,0,0.2,5
22,27,5,0x997f075b25cee2feb07ef1b53b202ad1c33bc739,8,1,0.0,7
23,198,3,0x5580fb6e95230bf16ae7e2c6467d11566ed5b3ea,18,1,0.0,5
23,198,3,0xdf390bcb82f2f574b690f649da6019db64b86ca2,9,0,0.0,2
23,198,3,0xe432d9a9be076334474a6a35ede39b278686f923,1,0,0.0,4
24,136,6,0x46cd13ad73b0260bccec6e722c42a7b76ae19b67,37,0,0.0833,7
24,136,6,0xf76dea0a7ed40e379cc834cf94a6bdc59ac11044,2,0,0.0,7
24,136,6,0xaa90ae1b969bc96e82c80e834b5f739e335b7e47,6,0,0.0,6
24,136,6,0x40afc43212f407fa717ab3315b37b6cb3480c23c,1,0,0.0,7
