region_id,n_nodes,k_obs_steiner,obs_btw,null_btw_mean,null_btw_std,z_cm,pct_cm,n_null
12,121,2,0.29911,0.11731,0.07547,2.409,1.0,36
16,17,2,0.14062,0.09072,0.03378,1.478,0.853,34
17,77,3,0.02534,0.13544,0.08308,-1.325,0.025,40
18,38,1,0.13527,0.06626,0.01997,3.456,1.0,38
22,27,2,0.04803,0.05913,0.04662,-0.238,0.455,33
23,198,2,0.07867,0.06057,0.02875,0.63,0.8,40
24,136,2,0.0185,0.04735,0.00986,-2.928,0.0,40
25,71,2,0.076,0.0746,0.03582,0.039,0.55,40
28,9,3,0.16071,0.21061,0.08108,-0.615,0.265,34
29,167,6,0.0232,0.03698,0.01977,-0.697,0.256,39
31,158,3,0.05085,0.07704,0.02962,-0.884,0.2,40
32,27,4,0.13882,0.22131,0.13278,-0.621,0.3,40
33,134,3,0.09017,0.0821,0.04191,0.193,0.6,40
36,146,4,0.12106,0.05584,0.03062,2.13,0.974,38
38,149,5,0.02883,0.02098,0.02304,0.341,0.743,35
41,132,4,0.05469,0.04335,0.01906,0.595,0.75,40
42,27,4,0.18225,0.19313,0.07198,-0.151,0.45,40
43,178,2,0.27958,0.09164,0.0601,3.127,1.0,39
45,116,2,0.1503,0.07118,0.01838,4.304,1.0,40
48,96,3,0.02497,0.0525,0.02467,-1.116,0.103,39
49,38,3,0.11426,0.10425,0.05557,0.18,0.692,39
54,57,4,0.11616,0.12064,0.05084,-0.088,0.538,39
56,174,6,0.01736,0.07445,0.04925,-1.159,0.125,40
58,77,4,0.07755,0.0509,0.01745,1.527,0.897,39
59,120,6,0.07137,0.04332,0.00897,3.127,1.0,40
62,64,2,0.09493,0.20468,0.16462,-0.667,0.263,38
66,56,3,0.11222,0.10467,0.04912,0.154,0.575,40
67,57,3,0.06933,0.11426,0.08296,-0.542,0.289,38
72,112,2,0.36638,0.14791,0.11881,1.839,0.925,40
75,78,1,0.02186,0.13488,0.09565,-1.182,0.025,40
76,60,2,0.14047,0.09764,0.03262,1.313,0.923,39
77,91,11,0.03383,0.04722,0.00808,-1.658,0.025,40
79,124,6,0.02836,0.04301,0.0349,-0.42,0.405,37
82,48,3,0.02739,0.14033,0.09959,-1.134,0.077,39
84,30,2,0.02226,0.12435,0.0872,-1.171,0.026,39
87,94,6,0.09822,0.08225,0.03329,0.48,0.75,40
90,66,1,0.08377,0.04779,0.05074,0.709,0.774,31
94,207,3,0.02447,0.01859,0.00903,0.651,0.8,40
95,26,3,0.03653,0.12315,0.05867,-1.476,0.026,39
97,140,2,0.0481,0.05286,0.02348,-0.202,0.625,40
98,53,5,0.03639,0.05482,0.02016,-0.914,0.103,39
99,133,4,0.0705,0.20003,0.09119,-1.42,0.075,40
100,81,4,0.07391,0.05596,0.0173,1.038,0.825,40
105,202,3,0.09615,0.06322,0.02059,1.599,0.95,40
111,114,8,0.04634,0.05692,0.01465,-0.722,0.3,40
112,173,4,0.03235,0.1193,0.07822,-1.112,0.05,40
114,57,1,0.05678,0.10739,0.05081,-0.996,0.125,40
119,27,2,0.08311,0.17165,0.10135,-0.874,0.225,40
123,182,4,0.01513,0.08196,0.04294,-1.557,0.0,40
124,67,1,0.42576,0.09718,0.04736,6.937,1.0,39
125,48,2,0.17004,0.20653,0.10465,-0.349,0.41,39
126,14,2,0.19017,0.16224,0.04239,0.659,0.825,40
132,96,2,0.02642,0.10878,0.07654,-1.076,0.075,40
135,29,1,0.2439,0.10838,0.04483,3.023,1.0,39
137,57,4,0.10937,0.14812,0.04589,-0.844,0.2,40
145,11,4,0.17963,0.2515,0.07503,-0.958,0.15,40
147,47,4,0.03297,0.08276,0.0471,-1.057,0.108,37
148,116,2,0.03121,0.09223,0.04089,-1.492,0.025,40
152,17,4,0.1274,0.21289,0.05298,-1.614,0.025,40
154,149,1,0.01146,0.05003,0.0219,-1.761,0.0,40
156,186,1,0.04457,0.04043,0.01282,0.323,0.65,40
160,132,14,0.0692,0.1662,0.10675,-0.909,0.0,40
161,144,2,0.03287,0.06422,0.05147,-0.609,0.333,39
163,25,3,0.03649,0.0838,0.04945,-0.957,0.2,35
164,22,1,0.02595,0.08544,0.04477,-1.329,0.079,38
173,52,1,0.01827,0.17224,0.10593,-1.454,0.0,40
175,196,10,0.0431,0.03672,0.01561,0.409,0.65,40
176,16,2,0.3373,0.23464,0.10579,0.97,0.825,40
177,91,3,0.0496,0.07799,0.02755,-1.03,0.125,40
179,85,2,0.09156,0.07519,0.04385,0.373,0.825,40
183,87,2,0.17707,0.06056,0.05382,2.165,0.974,39
185,123,4,0.23606,0.16258,0.07892,0.931,0.925,40
186,13,2,0.30871,0.21918,0.08622,1.038,0.829,35
188,198,5,0.04273,0.05603,0.03222,-0.413,0.3,40
190,85,4,0.10036,0.06242,0.0168,2.259,1.0,40
193,98,3,0.19973,0.15361,0.05543,0.832,0.8,40
195,25,2,0.27195,0.13857,0.05256,2.538,1.0,38
196,30,1,0.19777,0.0931,0.03838,2.727,1.0,36
199,120,1,0.01665,0.07327,0.05192,-1.091,0.081,37
204,165,1,0.00829,0.05712,0.02257,-2.164,0.0,40
205,42,3,0.07157,0.15901,0.05118,-1.708,0.025,40
206,19,3,0.15781,0.14067,0.09047,0.189,0.714,35
209,116,2,0.08498,0.06164,0.02063,1.132,0.9,40
210,162,3,0.14072,0.18155,0.09088,-0.449,0.3,40
212,45,2,0.24775,0.09084,0.01944,8.071,1.0,40
213,205,10,0.10856,0.07086,0.02173,1.735,0.975,40
214,120,2,0.29995,0.14961,0.14254,1.055,0.906,32
215,9,1,0.28571,0.13182,0.07288,2.112,1.0,24
216,64,6,0.14467,0.20209,0.07897,-0.727,0.225,40
219,94,7,0.05798,0.05242,0.02229,0.249,0.667,39
220,51,2,0.11873,0.1944,0.08283,-0.914,0.175,40
221,194,2,0.11203,0.11081,0.04215,0.029,0.65,40
224,67,2,0.39351,0.1174,0.02536,10.888,1.0,40
225,76,2,0.18034,0.08809,0.05552,1.662,0.923,39
226,40,3,0.08965,0.06415,0.02538,1.004,0.825,40
231,201,13,0.01728,0.04025,0.01313,-1.75,0.025,40
241,33,1,0.0294,0.07837,0.02873,-1.704,0.026,39
243,71,2,0.05784,0.06188,0.03119,-0.13,0.525,40
244,144,8,0.02398,0.03335,0.01282,-0.731,0.275,40
247,194,2,0.01748,0.02389,0.01788,-0.358,0.5,40
252,168,8,0.11791,0.10516,0.03354,0.38,0.7,40
253,166,4,0.09892,0.14847,0.07997,-0.62,0.225,40
254,216,4,0.04112,0.02404,0.0207,0.825,0.875,40
256,58,3,0.02869,0.07855,0.04369,-1.141,0.079,38
257,129,1,0.06449,0.06829,0.03726,-0.102,0.55,40
261,10,1,0.1662,0.10742,0.03385,1.736,0.974,39
265,62,1,0.04145,0.09488,0.0256,-2.087,0.0,40
267,17,1,0.24167,0.15098,0.04774,1.9,0.895,38
270,127,2,0.11408,0.08077,0.0215,1.55,0.875,40
274,122,6,0.08284,0.07953,0.02744,0.121,0.575,40
277,153,2,0.01304,0.05434,0.01894,-2.181,0.0,40
278,178,8,0.08756,0.08686,0.0491,0.014,0.525,40
281,113,3,0.02847,0.03953,0.01345,-0.822,0.225,40
282,79,1,0.00766,0.06189,0.02459,-2.206,0.025,40
283,27,1,0.03846,0.21227,0.11446,-1.519,0.0,40
284,159,2,0.06534,0.03791,0.01998,1.373,0.892,37
287,57,7,0.0838,0.11282,0.03931,-0.738,0.2,40
290,32,2,0.18163,0.13349,0.05918,0.813,0.821,39
291,72,4,0.0924,0.18124,0.10357,-0.858,0.128,39
293,12,3,0.3101,0.29265,0.12416,0.141,0.615,39
298,66,1,0.00266,0.20499,0.17935,-1.128,0.111,18
301,141,4,0.03282,0.08014,0.03991,-1.186,0.103,39
303,152,1,0.00175,0.09478,0.05223,-1.781,0.0,40
310,21,1,0.09756,0.11637,0.05406,-0.348,0.355,31
312,59,1,0.02084,0.12114,0.04013,-2.5,0.0,40
313,27,2,0.11565,0.09147,0.03425,0.706,0.789,38
316,17,2,0.1566,0.13827,0.03544,0.517,0.744,39
318,174,3,0.05031,0.05243,0.02238,-0.095,0.5,40
319,128,5,0.10815,0.04137,0.01042,6.41,1.0,40
320,173,6,0.11895,0.08711,0.04911,0.648,0.875,40
322,20,1,0.00312,0.02049,0.02397,-0.725,0.312,16
324,145,11,0.03653,0.0648,0.03065,-0.922,0.275,40
326,68,3,0.01824,0.22622,0.16128,-1.29,0.077,39
327,122,2,0.25655,0.11611,0.04408,3.186,0.975,40
331,42,4,0.1918,0.17281,0.12099,0.157,0.73,37
333,17,1,0.09569,0.15654,0.10746,-0.566,0.395,38
