region_id,n_nodes,k_steiner,obs_deg,null_deg,z_deg,pct_deg,obs_btw,null_btw,z_btw,pct_btw
3,378,3,20.333,8.322,2.002,0.959,0.0129,0.00419,0.889,0.943
6,271,9,27.667,11.459,4.059,0.999,0.01828,0.0044,2.565,0.969
8,363,18,42.278,17.982,5.726,1.0,0.0241,0.00384,6.115,1.0
9,386,5,29.0,6.004,7.138,1.0,0.02987,0.00368,5.56,0.997
12,121,2,60.0,5.784,7.42,1.0,0.29911,0.00832,7.891,1.0
14,233,6,30.333,6.853,7.939,1.0,0.05929,0.00657,8.212,1.0
16,17,1,8.0,4.633,1.457,0.819,0.16097,0.04901,2.114,0.911
17,77,3,12.667,5.968,1.635,0.93,0.02534,0.01457,0.318,0.877
18,38,1,15.0,6.536,2.082,0.939,0.13527,0.03011,2.863,0.978
19,391,12,13.5,5.206,5.281,0.999,0.01116,0.00292,4.039,0.991
22,27,2,2.5,2.417,0.126,0.593,0.04803,0.0219,1.501,0.852
23,198,2,26.5,6.468,4.205,0.985,0.07867,0.00984,3.796,0.972
24,136,2,5.5,7.608,-0.387,0.482,0.0185,0.00989,0.62,0.83
25,71,2,11.5,4.74,2.337,0.979,0.076,0.02107,2.289,0.931
27,285,15,30.333,13.867,3.722,1.0,0.02333,0.00362,5.347,1.0
28,9,3,3.667,2.991,1.903,0.915,0.16071,0.09933,1.904,0.969
29,167,6,15.5,6.868,2.95,0.988,0.0232,0.00735,1.924,0.949
30,387,6,14.667,9.635,1.362,0.894,0.00737,0.00459,0.689,0.815
31,158,3,20.667,6.818,2.762,0.97,0.05085,0.01072,2.487,0.973
32,27,4,6.75,3.854,1.994,0.936,0.13882,0.04737,1.853,0.918
33,134,5,12.4,4.797,3.663,0.981,0.06006,0.01184,2.9,0.971
34,265,4,16.0,5.887,3.459,0.995,0.01488,0.00373,2.776,0.964
36,146,4,25.75,5.312,7.794,1.0,0.12106,0.01151,8.095,1.0
38,149,1,4.0,4.102,-0.033,0.545,0.00256,0.00552,-0.268,0.571
39,316,7,32.571,6.802,6.046,1.0,0.0602,0.00628,5.978,0.999
41,132,4,20.5,6.251,4.94,0.998,0.05469,0.01004,4.402,0.997
42,27,4,9.25,3.972,3.776,1.0,0.18225,0.04803,3.019,0.993
43,178,2,80.0,6.954,7.102,0.996,0.27958,0.00588,8.727,0.995
45,116,2,29.5,6.307,4.482,0.994,0.1503,0.01211,5.411,0.996
48,96,3,8.0,6.011,0.686,0.791,0.02497,0.01253,0.813,0.883
49,38,3,6.333,3.596,2.25,0.954,0.11426,0.04161,1.806,0.924
50,337,4,40.5,7.492,7.15,1.0,0.06271,0.00536,7.996,1.0
51,237,2,38.5,4.919,8.903,1.0,0.12184,0.0055,10.644,1.0
53,396,4,32.0,7.982,4.785,0.998,0.04245,0.00477,4.501,0.986
54,57,4,9.0,4.592,2.449,0.978,0.11616,0.02927,3.442,0.995
56,174,6,11.167,6.869,1.421,0.906,0.01736,0.00893,0.694,0.911
58,77,4,17.0,7.201,3.004,0.994,0.07755,0.01647,3.44,0.99
59,120,6,22.5,8.87,4.309,1.0,0.07137,0.01343,5.63,1.0
62,64,2,14.5,6.164,1.584,0.927,0.09493,0.02356,1.409,0.951
64,265,9,49.667,14.84,5.699,1.0,0.03549,0.00622,6.272,1.0
66,56,3,10.0,4.493,2.589,0.971,0.11222,0.02602,2.786,0.979
